user_id,track_name,artist,genre,mood,searched_at
User106,Down,Jay Sean;Lil Wayne,dance,Happy,2026-08-24 22:49:49
User106,Danza Kuduro,Don Omar;Lucenzo,hip-hop,Happy,2026-08-24 22:50:28
User106,Bandoleros,Don Omar;Tego Calderón,latino,Happy,2026-08-24 22:50:32
User106,Heart Attack,Akcent;Olivia Addams,disco,Happy,2026-08-24 22:51:09
User101,Love Story,Taylor Swift,pop,Angry,2026-08-24 23:13:13
User101,Leave The Door Open,Bruno Mars;Anderson .Paak;Silk Sonic,dance,Happy,2026-08-24 23:36:50
User105,一路向北,Jay Chou,mandopop,Angry,2026-08-25 00:10:04
User101,Love The Way You Lie,Eminem;Rihanna,hip-hop,Happy,2026-08-25 01:48:44
User101,Invincible (feat. Daniel Caesar),Omar Apollo;Daniel Caesar,soul,Sad,2026-08-25 01:48:53
User105,Streets,Doja Cat,dance,Sad,2026-08-25 01:49:22
User101,Judas,Lady Gaga,dance,Happy,2026-08-25 02:16:31
User103,Perfect,Ed Sheeran,pop,Sad,2026-08-25 19:05:44
User107,Perfect,Ed Sheeran,pop,Sad,2026-08-25 19:10:41
User101,Duvet,bôa,indie-pop,Happy,2026-08-25 20:55:03
User101,Always Online,JJ Lin,mandopop,Happy,2026-08-25 20:55:20
User101,Danza Kuduro,Lucenzo;Don Omar,french,Happy,2026-08-25 20:56:12
User104,Duvet,bôa,indie-pop,Happy,2026-08-25 20:58:44
User104,Always Online,JJ Lin,mandopop,Happy,2026-08-25 20:59:12
User104,Danza Kuduro - Version MTO,Lucenzo;Don Omar,french,Happy,2026-08-25 21:00:14
User105,Duvet,bôa,indie-pop,Happy,2026-08-25 21:00:47
User105,Always Online,JJ Lin,mandopop,Happy,2026-08-25 21:00:58
User105,Danza Kuduro,Lucenzo;Don Omar,french,Happy,2026-08-25 21:01:14
User106,Duvet,bôa,indie-pop,Happy,2026-08-25 21:01:41
User106,Always Online,JJ Lin,mandopop,Happy,2026-08-25 21:01:55
User106,Danza Kuduro,Lucenzo;Don Omar,french,Happy,2026-08-25 21:02:07
User106,Love The Way You Lie,Eminem;Rihanna,hip-hop,Happy,2026-08-25 21:04:06
User106,SAD GIRLZ LUV MONEY,Amaarae;Moliy,alternative,Sad,2026-08-25 21:07:35
User104,Danza Kuduro,Lucenzo;Don Omar,french,Happy,2026-08-25 21:43:18
User103,Come Around Me,Justin Bieber,pop,Happy,2026-08-25 21:57:35
User103,不該,Jay Chou;A-Mei Chang,mandopop,Angry,2026-08-25 22:05:44
User104,All Around Me,Justin Bieber,pop,Chill,2026-08-26 15:42:20
User002,Come Around Me,Justin Bieber,pop,Happy,2026-08-26 23:18:30
User002,Perfect,Yung Pinch,emo,Angry,2026-08-26 23:18:45
User002,11:11,Vini Vici;Pawan Nair,trance,Angry,2026-08-26 23:19:09
User002,LALALA,Korsakoff,happy,Angry,2026-08-26 23:19:25
User002,Animal,Def Leppard,hard-rock,Happy,2026-08-26 23:19:53
User002,Photograph,Ed Sheeran,pop,Sad,2026-08-26 23:21:11
User002,一路向北,Jay Chou,mandopop,Angry,2026-08-26 23:25:52
User002,Payphone,Maroon 5;Wiz Khalifa,pop,Happy,2026-08-26 23:26:37
User002,Animals,Maroon 5,pop,Angry,2026-08-26 23:26:57
User002,BABY,FACE,emo,Happy,2026-08-26 23:27:32
User002,Money Rain - Phonk Remix,VTORNIK;Phonk,hip-hop,Happy,2026-08-26 23:28:54
User002,太聰明,Cheer Chen,mandopop,Sad,2026-08-26 23:29:04
Admin,A Perfect House,Dear Seattle,garage,Angry,2026-08-27 12:08:22
User001,一路向北,Jay Chou,mandopop,Angry,2026-08-27 13:27:31
User002,Danza Kuduro,Don Omar;Lucenzo,hip-hop,Happy,2026-08-27 14:22:25
User002,On & On,Cartoon;Daniel Levi,edm,Angry,2026-08-27 14:50:51
User002,Baby,Justin Bieber;Ludacris,pop,Happy,2026-08-27 15:36:28
User001,她的睫毛,Jay Chou,mandopop,Angry,2026-08-28 08:50:07
User102,Goosebumps - Remix,Travis Scott;HVME,hip-hop,Happy,2026-08-28 09:55:41
User102,Give It To Me Twice (feat. Sean Kingston & Rich The Kid),Party Favor;Rich The Kid;Sean Kingston,electronic,Happy,2026-08-28 09:56:01
User102,一路向北,Jay Chou,mandopop,Angry,2026-08-28 09:56:07
User102,SAD GIRLZ LUV MONEY,Amaarae;Moliy,alternative,Sad,2026-08-28 09:56:12
User102,Without You,高爾宣 OSN,mandopop,Angry,2026-08-28 09:56:16
User102,Invincible (feat. Daniel Caesar),Omar Apollo;Daniel Caesar,soul,Sad,2026-08-28 09:56:31
User102,"""Christe, Redemptor omnium""",Traditional;Sistine Chapel Choir;Massimo Palombella,sleep,Sad,2026-08-28 10:02:10
User102,太聰明,Cheer Chen,mandopop,Sad,2026-08-28 12:32:37
